+----------+---------+
|   Número |   Serie |
|----------+---------|
|          |         |
|     8942 |     094 |
|     7121 |     157 |
|     6822 |     169 |
|     3137 |     280 |
|     4797 |     116 |
|     8562 |     084 |
|     5908 |     167 |
|     5694 |     136 |
|     0069 |     121 |
|     4247 |     363 |
|     0400 |     310 |
|     5307 |     346 |
|     8219 |     040 |
|     3579 |     017 |
|     5596 |     161 |
|     4513 |     131 |
|     4457 |     263 |
|     8975 |     158 |
|     7361 |     141 |
|     4004 |     238 |
|     9359 |     036 |
|     0840 |     298 |
|     0575 |     276 |
|     7240 |     112 |
|     5526 |     352 |
|     3177 |     051 |
|     8312 |     110 |
|     6876 |     327 |
|     7252 |     197 |
|     7981 |     353 |
|     7206 |     263 |
|     9739 |     259 |
|     8693 |     100 |
|     0229 |     129 |
|     3747 |     009 |
|     2637 |     339 |
|     1336 |     102 |
|     0278 |     349 |
|     9437 |     057 |
|     5481 |     366 |
|     7776 |     233 |
|     7985 |     188 |
|     4634 |     325 |
|     1473 |     191 |
|     6944 |     394 |
|     6819 |     196 |
|     2008 |     229 |
|     7277 |     264 |
|     1606 |     324 |
|     9855 |     133 |
|     4711 |     249 |
|     7987 |     052 |
|     0303 |     167 |
|     6017 |     390 |
|     1010 |     134 |
|     4770 |     027 |
|     1522 |     291 |
|     8811 |     176 |
|     2242 |     051 |
|     2000 |     172 |
|     8867 |     139 |
|     0409 |     256 |
|     0636 |     382 |
|     6551 |     327 |
|     0234 |     040 |
|     1541 |     169 |
|     7435 |     007 |
|     7263 |     068 |
|     0268 |     084 |
|     8750 |     117 |
|     0796 |     067 |
|     6057 |     190 |
|     3331 |     298 |
|     4617 |     076 |
|     4959 |     086 |
|     8405 |     268 |
|     3894 |     313 |
|     8138 |     075 |
|     3554 |     230 |
|     3174 |     277 |
|     0379 |     322 |
|     5855 |     105 |
|     1999 |     094 |
|     2153 |     272 |
|     0223 |     215 |
|     0517 |     049 |
|     9196 |     222 |
|     5295 |     263 |
|     2605 |     301 |
|     3067 |     179 |
|     6899 |     131 |
|     1528 |     273 |
|     3372 |     022 |
|     8708 |     078 |
|     0457 |     336 |
|     8772 |     049 |
|     2564 |     255 |
|     6737 |     374 |
|     1866 |     007 |
|     6520 |     275 |
+----------+---------+
